scaffold	length (bp)	length spanned by first and last sites (bp)	number of sites in all_sites alignment	number nexus sites in phmm alignment	number posterior probabilities > threshold	number_tracts	number_ten_kb_tracts	combined_tract_length	combined_tract_length_10kb	fully_introgressed_genes	partially_introgressed_genes
NW_022145612.1	62154208	62139653	8851279	1095607	7453	289	7	356598	108525	0	40
NW_022145594.1	53101916	53037649	2263722	325499	4867	315	5	277923	91578	0	26
NW_022145606.1	52437917	52286287	1284640	189122	8387	402	35	1233666	815446	10	51
NW_022145607.1	45798072	45776597	3034526	411591	9972	411	13	693094	232092	1	55
NW_022145611.1	45225044	44925678	7022008	849905	6936	269	2	261644	28348	0	30
NW_022145605.1	42589791	42561710	3492373	466830	9557	266	9	482054	125183	2	42
NW_022145609.1	39838600	39804880	2858534	383404	13374	468	26	1060065	516376	6	78
NW_022145613.1	39667378	39638659	5160080	675139	5600	310	3	266826	61544	0	24
NW_022145599.1	37767046	37754394	3468588	462774	2552	104	0	92234	0	0	20
NW_022145598.1	37305039	37266892	2610142	365775	9439	462	15	703182	305203	8	41
NW_022145600.1	37282239	37256058	3729855	481693	6970	335	8	517722	230340	8	34
NW_022145610.1	35917773	35901468	3067863	409101	3801	201	1	166282	23883	0	20
NW_022145615.1	35239632	35231119	4792189	624021	0	0	0	0	0	0	0
NW_022145601.1	35007347	35002337	2808357	380282	3824	122	8	298140	168423	1	20
NW_022145603.1	34285068	34163790	1815098	256341	6025	280	16	767122	524277	7	28
NW_022145597.1	34141700	34037707	2821515	379366	1998	36	2	85356	32452	3	8
NW_022145604.1	33742549	33524458	2209513	302667	3919	137	8	405359	252684	4	22
NW_022145614.1	33637615	33598179	4678977	579266	2781	120	1	120378	16091	0	18
NW_022145596.1	33320444	33264097	4007847	524147	2817	135	2	112277	31994	0	12
NW_022145602.1	30021120	29961607	1608960	232686	2990	193	3	322721	182953	0	15
NW_022145595.1	29984350	29922500	2957680	388578	0	0	0	0	0	0	0
